,Class,Precision,Recall,F1 Score
0,[A1010],0.9863013698630136,0.9863013698630136,0.9863013698630136
1,[A1020],0.984375,0.9545454545454546,0.9692307692307692
2,[A1030],0.9418604651162791,1.0,0.970059880239521
3,[A2010],0.9583333333333334,0.971830985915493,0.965034965034965
4,[A2020],1.0,1.0,1.0
5,[B1010],0.9938900203665988,0.9928789420142421,0.9933842239185751
6,[B1020],0.9568965517241379,0.940677966101695,0.9487179487179486
7,[B2010],0.9963570127504554,0.9945454545454545,0.9954504094631483
8,[B2020],0.9933774834437086,1.0,0.9966777408637874
9,[B2030],1.0,0.875,0.9333333333333333
10,[B3010],0.9090909090909091,0.958904109589041,0.9333333333333333
11,[B3020],0.0,0.0,0.0
12,[C1010],0.9321739130434783,0.9925925925925926,0.9614349775784754
13,[C1020],1.0,1.0,1.0
14,[C1030],0.9813084112149533,1.0,0.9905660377358491
15,[C2010],0.9767441860465116,0.525,0.6829268292682928
16,[C2020],1.0,1.0,1.0
17,[C3010],0.9985096870342772,0.9955423476968797,0.9970238095238095
18,[C3020],1.0,0.9982363315696648,0.9991173874669019
19,[C3030],0.9971181556195965,1.0,0.9985569985569985
20,[D1010],0.9941176470588236,0.9941176470588236,0.9941176470588236
21,[D1020],1.0,1.0,1.0
22,[D1090],0.9375,1.0,0.967741935483871
23,[D2010],1.0,1.0,1.0
24,[D2020],1.0,1.0,1.0
25,[D2030],0.8333333333333334,1.0,0.9090909090909091
26,[D2090],0.0,0.0,0.0
27,[D3010],1.0,1.0,1.0
28,[D3020],1.0,0.8421052631578947,0.9142857142857143
29,[D3030],0.9736842105263158,1.0,0.9866666666666666
30,[D3040],0.990521327014218,0.9766355140186916,0.9835294117647059
31,[D3050],0.9863387978142076,0.9836512261580381,0.984993178717599
32,[D3060],0.8260869565217391,1.0,0.9047619047619047
33,[D3070],1.0,1.0,1.0
34,[D4010],1.0,1.0,1.0
35,[D4020],1.0,1.0,1.0
36,[D4030],1.0,1.0,1.0
37,[D4090],1.0,0.8571428571428571,0.923076923076923
38,[D5010],0.954954954954955,0.9906542056074766,0.9724770642201835
39,[D5020],0.9885057471264368,0.9847328244274809,0.9866156787762905
40,[D5030],0.9834710743801653,0.9834710743801653,0.9834710743801653
41,[D5090],0.990990990990991,0.9821428571428571,0.9865470852017937
42,[E1010],1.0,1.0,1.0
43,[E1020],1.0,1.0,1.0
44,[E1090],1.0,0.9767441860465116,0.988235294117647
45,[E2010],1.0,0.9659090909090909,0.9826589595375723
46,[E2020],1.0,1.0,1.0
