,Class,Precision,Recall,F1 Score
0,A1010,1.0,0.9866666666666667,0.9932885906040269
1,A1020,1.0,1.0,1.0
2,A1030,0.9753086419753086,1.0,0.9875
3,A2010,0.9666666666666667,0.9830508474576272,0.9747899159663865
4,A2020,1.0,0.92,0.9583333333333334
5,B1010,0.9927760577915377,0.9907312049433573,0.9917525773195875
6,B1020,0.9626865671641791,0.9416058394160584,0.9520295202952029
7,B2010,0.992633517495396,0.9889908256880734,0.9908088235294119
8,B2020,0.9969135802469136,0.9969135802469136,0.9969135802469136
9,B2030,0.875,0.7777777777777778,0.823529411764706
10,B3010,0.896551724137931,0.9873417721518988,0.9397590361445785
11,B3020,0.0,0.0,0.0
12,C1010,0.9285714285714286,0.9919678714859438,0.9592233009708737
13,C1020,1.0,1.0,1.0
14,C1030,0.9811320754716981,1.0,0.9904761904761905
15,C2010,0.9811320754716981,0.5777777777777777,0.7272727272727272
16,C2020,1.0,1.0,1.0
17,C3010,0.982532751091703,0.995575221238938,0.989010989010989
18,C3020,0.9941176470588236,0.9844660194174757,0.9892682926829268
19,C3030,0.9943977591036415,1.0,0.9971910112359551
20,D1010,0.9944444444444445,0.9944444444444445,0.9944444444444445
21,D1020,1.0,1.0,1.0
22,D1090,0.9523809523809523,0.9523809523809523,0.9523809523809523
23,D2010,0.9736842105263158,1.0,0.9866666666666666
24,D2020,1.0,1.0,1.0
25,D2030,0.8947368421052632,1.0,0.9444444444444444
26,D2040,0.0,0.0,0.0
27,D2090,0.0,0.0,0.0
28,D3010,1.0,1.0,1.0
29,D3020,1.0,0.9,0.9473684210526316
30,D3030,0.9846153846153847,1.0,0.9922480620155039
31,D3040,0.9916317991631799,0.983402489626556,0.9874999999999999
32,D3050,0.9916201117318436,0.9646739130434783,0.9779614325068869
33,D3060,0.9142857142857143,1.0,0.955223880597015
34,D3070,0.9791666666666666,0.9791666666666666,0.9791666666666666
35,D3090,0.0,0.0,0.0
36,D4010,1.0,0.9866666666666667,0.9932885906040269
37,D4020,0.9605263157894737,1.0,0.9798657718120806
38,D4030,1.0,1.0,1.0
39,D4090,1.0,1.0,1.0
40,D5010,0.990909090909091,0.990909090909091,0.990909090909091
41,D5020,0.974910394265233,0.9963369963369964,0.9855072463768116
42,D5030,0.9848484848484849,0.9558823529411765,0.9701492537313432
43,D5090,0.963963963963964,0.981651376146789,0.9727272727272728
44,E1010,1.0,1.0,1.0
45,E1020,1.0,0.9090909090909091,0.9523809523809523
46,E1090,1.0,1.0,1.0
47,E2010,1.0,1.0,1.0
48,E2020,0.875,1.0,0.9333333333333333
