,Class,Precision,Recall,F1 Score
0,A1010,0.9866666666666667,0.9866666666666667,0.9866666666666668
1,A1020,1.0,1.0,1.0
2,A1030,0.9746835443037974,0.9746835443037974,0.9746835443037974
3,A2010,1.0,0.9830508474576272,0.9914529914529915
4,A2020,1.0,0.96,0.9795918367346939
5,B1010,0.9907120743034056,0.9886714727085479,0.9896907216494847
6,B1020,0.896551724137931,0.948905109489051,0.9219858156028369
7,B2010,0.9871323529411765,0.9853211009174312,0.9862258953168044
8,B2020,0.9969230769230769,1.0,0.9984591679506933
9,B2030,1.0,0.7777777777777778,0.8750000000000001
10,B3010,0.8666666666666667,0.9873417721518988,0.9230769230769232
11,B3020,1.0,1.0,1.0
12,C1010,0.9690721649484536,0.9437751004016064,0.9562563580874873
13,C1020,1.0,1.0,1.0
14,C1030,1.0,1.0,1.0
15,C2010,0.7307692307692307,0.8444444444444444,0.7835051546391751
16,C2020,1.0,1.0,1.0
17,C3010,0.9941176470588236,0.9970501474926253,0.995581737849779
18,C3020,0.9941972920696325,0.9980582524271845,0.9961240310077519
19,C3030,0.9943977591036415,1.0,0.9971910112359551
20,D1010,1.0,0.9888888888888889,0.9944134078212291
21,D1020,1.0,1.0,1.0
22,D1090,1.0,0.42857142857142855,0.6
23,D2010,1.0,1.0,1.0
24,D2020,0.9834710743801653,0.9916666666666667,0.9875518672199171
25,D2030,0.8947368421052632,1.0,0.9444444444444444
26,D2040,0.0,0.0,0.0
27,D2090,1.0,1.0,1.0
28,D3010,1.0,1.0,1.0
29,D3020,1.0,0.9,0.9473684210526316
30,D3030,1.0,1.0,1.0
31,D3040,1.0,0.983402489626556,0.9916317991631798
32,D3050,0.994413407821229,0.967391304347826,0.9807162534435261
33,D3060,0.9583333333333334,0.71875,0.8214285714285714
34,D3070,1.0,0.9791666666666666,0.9894736842105264
35,D3090,1.0,1.0,1.0
36,D4010,1.0,0.9866666666666667,0.9932885906040269
37,D4020,0.9733333333333334,1.0,0.9864864864864865
38,D4030,0.9333333333333333,1.0,0.9655172413793104
39,D4090,1.0,1.0,1.0
40,D5010,0.9322033898305084,1.0,0.9649122807017544
41,D5020,0.9849624060150376,0.9597069597069597,0.9721706864564008
42,D5030,0.8758169934640523,0.9852941176470589,0.9273356401384083
43,D5090,1.0,0.944954128440367,0.9716981132075472
44,E1010,0.6666666666666666,1.0,0.8
45,E1020,1.0,1.0,1.0
46,E1090,1.0,1.0,1.0
47,E2010,1.0,1.0,1.0
48,E2020,1.0,1.0,1.0
