,Class,Precision,Recall,F1 Score
0,A1010,0.5038167938931297,0.9850746268656716,0.6666666666666666
1,A1020,0.0,0.0,0.0
2,A1030,0.9726027397260274,1.0,0.9861111111111112
3,A2010,0.9240506329113924,0.9864864864864865,0.954248366013072
4,A2020,1.0,0.38461538461538464,0.5555555555555556
5,B1010,0.9970178926441352,0.9960278053624627,0.9965226030799802
6,B1020,0.9921259842519685,0.9618320610687023,0.9767441860465117
7,B2010,0.9718804920913884,1.0,0.9857397504456328
8,B2020,1.0,0.9938650306748467,0.9969230769230769
9,B2030,1.0,0.06666666666666667,0.125
10,B3010,0.9152542372881356,0.8852459016393442,0.9
11,B3020,0.0,0.0,0.0
12,C1010,0.9313380281690141,0.9962335216572504,0.9626933575978163
13,C1020,0.851063829787234,1.0,0.9195402298850576
14,C1030,0.9819819819819819,0.990909090909091,0.9864253393665158
15,C2010,1.0,0.3902439024390244,0.5614035087719299
16,C2020,0.0,0.0,0.0
17,C3010,1.0,0.9906542056074766,0.9953051643192489
18,C3020,0.9905482041587902,1.0,0.9952516619183286
19,C3030,0.9915730337078652,1.0,0.995768688293371
20,D1010,1.0,1.0,1.0
21,D1020,1.0,1.0,1.0
22,D1090,0.9545454545454546,0.9545454545454546,0.9545454545454546
23,D2010,0.4888888888888889,1.0,0.6567164179104478
24,D2020,1.0,0.4247787610619469,0.5962732919254659
25,D2030,0.42857142857142855,0.8823529411764706,0.5769230769230769
26,D2040,0.0,0.0,0.0
27,D2090,0.0,0.0,0.0
28,D3010,0.0,0.0,0.0
29,D3020,0.875,0.8235294117647058,0.8484848484848485
30,D3030,0.9859154929577465,1.0,0.9929078014184397
31,D3040,0.968503937007874,0.9959514170040485,0.9820359281437125
32,D3050,0.9889196675900277,0.9834710743801653,0.9861878453038674
33,D3060,0.96,0.96,0.96
34,D3070,0.9565217391304348,1.0,0.9777777777777777
35,D4010,1.0,1.0,1.0
36,D4020,1.0,0.8955223880597015,0.9448818897637796
37,D4030,1.0,1.0,1.0
38,D4090,0.3333333333333333,1.0,0.5
39,D5010,0.98989898989899,0.9607843137254902,0.9751243781094527
40,D5020,0.9644128113879004,0.9890510948905109,0.9765765765765766
41,D5030,1.0,0.9312977099236641,0.9644268774703557
42,D5090,0.9504950495049505,0.9896907216494846,0.9696969696969696
43,E1010,0.0,0.0,0.0
44,E1020,0.7142857142857143,0.8333333333333334,0.7692307692307692
45,E1030,0.0,0.0,0.0
46,E1090,1.0,0.9814814814814815,0.9906542056074767
47,E2010,0.9647058823529412,1.0,0.9820359281437125
48,E2020,1.0,1.0,1.0
