,Class,Precision,Recall,F1 Score
0,A1010,1.0,0.9852941176470589,0.9925925925925926
1,A1020,1.0,1.0,1.0
2,A1030,0.9772727272727273,1.0,0.9885057471264368
3,A2010,0.9836065573770492,1.0,0.9917355371900827
4,A2020,1.0,0.8888888888888888,0.9411764705882353
5,B1010,0.9949290060851927,0.993920972644377,0.9944247339077548
6,B1020,0.975,0.9669421487603306,0.970954356846473
7,B2010,0.9846153846153847,0.9965397923875432,0.9905417024935512
8,B2020,1.0,0.9872611464968153,0.9935897435897436
9,B2030,1.0,0.7777777777777778,0.8750000000000001
10,B3010,0.9594594594594594,0.9861111111111112,0.9726027397260274
11,B3020,0.0,0.0,0.0
12,C1010,1.0,0.9226519337016574,0.9597701149425287
13,C1020,0.991304347826087,1.0,0.9956331877729258
14,C1030,0.9914529914529915,1.0,0.9957081545064378
15,C2010,0.726027397260274,1.0,0.8412698412698413
16,C2020,1.0,1.0,1.0
17,C3010,0.996969696969697,0.9924585218702866,0.9947089947089947
18,C3020,0.9981060606060606,1.0,0.9990521327014218
19,C3030,0.993920972644377,1.0,0.9969512195121951
20,D1010,1.0,1.0,1.0
21,D1020,1.0,1.0,1.0
22,D1090,0.8571428571428571,1.0,0.923076923076923
23,D2010,1.0,1.0,1.0
24,D2020,1.0,1.0,1.0
25,D2030,0.8888888888888888,1.0,0.9411764705882353
26,D3010,1.0,1.0,1.0
27,D3020,1.0,0.7857142857142857,0.88
28,D3030,0.9879518072289156,1.0,0.993939393939394
29,D3040,0.9736842105263158,0.9910714285714286,0.9823008849557523
30,D3050,0.997093023255814,0.9689265536723164,0.9828080229226361
31,D3060,0.9523809523809523,0.9523809523809523,0.9523809523809523
32,D3070,0.98,0.98,0.98
33,D3090,0.0,0.0,0.0
34,D4010,1.0,1.0,1.0
35,D4020,1.0,1.0,1.0
36,D4030,0.9,1.0,0.9473684210526316
37,D4090,1.0,0.8888888888888888,0.9411764705882353
38,D5010,0.9693877551020408,0.9895833333333334,0.9793814432989691
39,D5020,0.9217687074829932,1.0,0.95929203539823
40,D5030,0.9917355371900827,0.9375,0.963855421686747
41,D5090,0.9896907216494846,0.9411764705882353,0.964824120603015
42,E1010,1.0,0.8571428571428571,0.923076923076923
43,E1020,0.8,0.6666666666666666,0.7272727272727272
44,E1090,1.0,0.9772727272727273,0.9885057471264368
45,E2010,1.0,1.0,1.0
46,E2020,1.0,1.0,1.0
